URL: /
Timestamp: Thu Feb 16 2023 14:17:36 GMT-0600 (Central Standard Time)

URL: /favicon.ico
Timestamp: Thu Feb 16 2023 14:17:37 GMT-0600 (Central Standard Time)

::1 - - [30/Mar/2023:07:22:40 +0000] "POST /users/name HTTP/1.1" 404 150 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:23:12 +0000] "POST /users/Jon HTTP/1.1" 404 149 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:23:17 +0000] "GET /users/Jon HTTP/1.1" 404 148 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:23:31 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:24:50 +0000] "POST /users/3 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:25:14 +0000] "POST /users/3/name HTTP/1.1" 200 37 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:25:32 +0000] "POST /users HTTP/1.1" 400 16 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:25:51 +0000] "POST /users/1 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:27:22 +0000] "PUT /users/1 HTTP/1.1" 200 63 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:29:41 +0000] "DELETE /users/1/id HTTP/1.1" 200 39 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:30:10 +0000] "DELETE /users/2/It HTTP/1.1" 200 39 "-" "PostmanRuntime/7.31.3"
::1 - - [30/Mar/2023:07:33:00 +0000] "DELETE /users/3 HTTP/1.1" 200 23 "-" "PostmanRuntime/7.31.3"
::1 - - [10/May/2023:21:57:07 +0000] "POST / HTTP/1.1" 404 140 "-" "PostmanRuntime/7.32.2"
::1 - - [10/May/2023:21:58:27 +0000] "POST / HTTP/1.1" 404 140 "-" "PostmanRuntime/7.32.2"
::1 - - [10/May/2023:21:59:29 +0000] "GET / HTTP/1.1" 200 18 "-" "PostmanRuntime/7.32.2"
::1 - - [10/May/2023:22:28:19 +0000] "GET /movies HTTP/1.1" 200 10940 "-" "PostmanRuntime/7.32.2"
::1 - - [10/May/2023:23:01:55 +0000] "GET /users HTTP/1.1" 201 564 "-" "PostmanRuntime/7.32.2"
::1 - - [10/May/2023:23:10:10 +0000] "GET /movies/The%20Evil%20Dead HTTP/1.1" 200 1261 "-" "PostmanRuntime/7.32.2"
